ticket_id,customer_id,subject,description,category,priority,channel,status,created_at
1,9935,Cancel my subscription,I want to cancel my monthly subscription before the next billing cycle. Please resolve this as soon as possible.,Subscription Issues,Low,email,resolved,2026-04-30T14:31:31.796966+00:00
2,1434,Request refund for duplicate payment,"I was charged for an order that I cancelled, so I need a refund.",Refund Requests,Medium,chat,resolved,2026-01-25T21:28:31.796966+00:00
3,3615,Trial period expired early,My plan seems to have changed without my confirmation. This is affecting my work.,Subscription Issues,Medium,web_portal,in_progress,2026-03-25T17:47:31.796966+00:00
4,6881,Change company profile details,Please help me change the company name and profile information in my account. Please resolve this as soon as possible.,Account Management,Low,phone,resolved,2026-02-27T14:42:31.796966+00:00
5,5803,Update account email address,My old phone number is still attached to the account and I want to remove it. This issue is blocking my team.,Account Management,Low,phone,resolved,2026-02-28T15:19:31.796966+00:00
6,2654,Cannot login to my account,I cannot login even after entering the correct email address and password. This is affecting my work.,Login Problems,High,web_portal,in_progress,2026-05-15T10:04:31.796966+00:00
7,2169,Money back for failed service,Please refund the duplicate payment made from my card yesterday. Please resolve this as soon as possible.,Refund Requests,Medium,chat,resolved,2025-12-15T08:54:31.796966+00:00
8,4598,Upgrade monthly plan,Please help me upgrade from the basic plan to the premium plan. I have already contacted support once.,Subscription Issues,Medium,phone,open,2025-12-22T18:31:31.796966+00:00
9,6155,Cannot login to my account,My account is locked because I entered the wrong password several times. I have already contacted support once.,Login Problems,Medium,chat,resolved,2026-04-10T22:39:31.796966+00:00
10,9830,Cancel purchase and refund,I cancelled the subscription within the trial period but have still been charged. This is affecting my work.,Refund Requests,Medium,phone,resolved,2026-04-01T22:51:31.796966+00:00
11,9085,API integration is failing,The export feature is not working and the downloaded file is empty. I have already contacted support once.,Technical Support,Medium,email,open,2026-04-30T00:37:31.796966+00:00
12,8668,Card was charged twice,My credit card was charged two times for the same subscription renewal. I have already contacted support once.,Payment Issues,Medium,phone,resolved,2026-02-26T04:59:31.796966+00:00
13,5808,Payment failed during checkout,I cannot add a new payment method because the checkout page keeps rejecting my card. Please resolve this as soon as possible.,Payment Issues,High,web_portal,open,2026-03-09T14:12:31.797967+00:00
14,5889,Request refund for duplicate payment,The service did not work as promised and I would like my money back. This issue is blocking my team.,Refund Requests,High,chat,open,2026-01-26T14:23:31.797967+00:00
15,9005,Change company profile details,The billing contact has changed and I need the account details updated. This issue is blocking my team.,Account Management,High,email,open,2026-01-02T06:57:31.797967+00:00
16,2403,Add another team member,Please help me change the company name and profile information in my account.,Account Management,Low,web_portal,open,2026-01-10T15:19:31.797967+00:00
17,9645,Dashboard page is loading slowly,The dashboard takes a very long time to load and sometimes shows a server error. I have already contacted support once.,Technical Support,High,web_portal,open,2026-04-23T08:58:31.797967+00:00
18,8177,Dashboard page is loading slowly,I am getting an error while uploading a CSV file to the platform. I have already contacted support once.,Technical Support,High,web_portal,open,2025-12-20T05:16:31.797967+00:00
19,4608,Password reset link not working,I cannot login even after entering the correct email address and password. Please resolve this as soon as possible.,Login Problems,Low,email,open,2026-01-14T10:09:31.797967+00:00
20,9423,Cancel my subscription,Please help me upgrade from the basic plan to the premium plan.,Subscription Issues,High,chat,in_progress,2026-03-12T15:35:31.797967+00:00
