ticket_id,customer_id,subject,description,category,priority,channel,status,created_at,combined_text,clean_text
1,9935,Cancel my subscription,I want to cancel my monthly subscription before the next billing cycle. Please resolve this as soon as possible.,Subscription Issues,Low,email,resolved,2026-04-30T14:31:31.796966+00:00,Cancel my subscription I want to cancel my monthly subscription before the next billing cycle. Please resolve this as soon as possible.,cancel subscription want cancel monthly subscription bill cycle resolve soon possible
2,1434,Request refund for duplicate payment,"I was charged for an order that I cancelled, so I need a refund.",Refund Requests,Medium,chat,resolved,2026-01-25T21:28:31.796966+00:00,"Request refund for duplicate payment I was charged for an order that I cancelled, so I need a refund.",request refund duplicate payment charge order cancel need refund
3,3615,Trial period expired early,My plan seems to have changed without my confirmation. This is affecting my work.,Subscription Issues,Medium,web_portal,in_progress,2026-03-25T17:47:31.796966+00:00,Trial period expired early My plan seems to have changed without my confirmation. This is affecting my work.,trial period expire early plan change confirmation affect work
4,6881,Change company profile details,Please help me change the company name and profile information in my account. Please resolve this as soon as possible.,Account Management,Low,phone,resolved,2026-02-27T14:42:31.796966+00:00,Change company profile details Please help me change the company name and profile information in my account. Please resolve this as soon as possible.,change company profile detail help change company profile information account resolve soon possible
5,5803,Update account email address,My old phone number is still attached to the account and I want to remove it. This issue is blocking my team.,Account Management,Low,phone,resolved,2026-02-28T15:19:31.796966+00:00,Update account email address My old phone number is still attached to the account and I want to remove it. This issue is blocking my team.,update account email address old phone number attach account want remove issue block team
6,2654,Cannot login to my account,I cannot login even after entering the correct email address and password. This is affecting my work.,Login Problems,High,web_portal,in_progress,2026-05-15T10:04:31.796966+00:00,Cannot login to my account I cannot login even after entering the correct email address and password. This is affecting my work.,login account login enter correct email address password affect work
7,2169,Money back for failed service,Please refund the duplicate payment made from my card yesterday. Please resolve this as soon as possible.,Refund Requests,Medium,chat,resolved,2025-12-15T08:54:31.796966+00:00,Money back for failed service Please refund the duplicate payment made from my card yesterday. Please resolve this as soon as possible.,money fail service refund duplicate payment card yesterday resolve soon possible
8,4598,Upgrade monthly plan,Please help me upgrade from the basic plan to the premium plan. I have already contacted support once.,Subscription Issues,Medium,phone,open,2025-12-22T18:31:31.796966+00:00,Upgrade monthly plan Please help me upgrade from the basic plan to the premium plan. I have already contacted support once.,upgrade monthly plan help upgrade basic plan premium plan contact
9,6155,Cannot login to my account,My account is locked because I entered the wrong password several times. I have already contacted support once.,Login Problems,Medium,chat,resolved,2026-04-10T22:39:31.796966+00:00,Cannot login to my account My account is locked because I entered the wrong password several times. I have already contacted support once.,login account account lock enter wrong password time contact
10,9830,Cancel purchase and refund,I cancelled the subscription within the trial period but have still been charged. This is affecting my work.,Refund Requests,Medium,phone,resolved,2026-04-01T22:51:31.796966+00:00,Cancel purchase and refund I cancelled the subscription within the trial period but have still been charged. This is affecting my work.,cancel purchase refund cancel subscription trial period charge affect work
11,9085,API integration is failing,The export feature is not working and the downloaded file is empty. I have already contacted support once.,Technical Support,Medium,email,open,2026-04-30T00:37:31.796966+00:00,API integration is failing The export feature is not working and the downloaded file is empty. I have already contacted support once.,api integration fail export feature work download file contact
12,8668,Card was charged twice,My credit card was charged two times for the same subscription renewal. I have already contacted support once.,Payment Issues,Medium,phone,resolved,2026-02-26T04:59:31.796966+00:00,Card was charged twice My credit card was charged two times for the same subscription renewal. I have already contacted support once.,card charge twice credit card charge time subscription renewal contact
13,5808,Payment failed during checkout,I cannot add a new payment method because the checkout page keeps rejecting my card. Please resolve this as soon as possible.,Payment Issues,High,web_portal,open,2026-03-09T14:12:31.797967+00:00,Payment failed during checkout I cannot add a new payment method because the checkout page keeps rejecting my card. Please resolve this as soon as possible.,payment fail checkout add new payment method checkout page keep reject card resolve soon possible
14,5889,Request refund for duplicate payment,The service did not work as promised and I would like my money back. This issue is blocking my team.,Refund Requests,High,chat,open,2026-01-26T14:23:31.797967+00:00,Request refund for duplicate payment The service did not work as promised and I would like my money back. This issue is blocking my team.,request refund duplicate payment service did work promis like money issue block team
15,9005,Change company profile details,The billing contact has changed and I need the account details updated. This issue is blocking my team.,Account Management,High,email,open,2026-01-02T06:57:31.797967+00:00,Change company profile details The billing contact has changed and I need the account details updated. This issue is blocking my team.,change company profile detail bill contact change need account detail updat issue block team
16,2403,Add another team member,Please help me change the company name and profile information in my account.,Account Management,Low,web_portal,open,2026-01-10T15:19:31.797967+00:00,Add another team member Please help me change the company name and profile information in my account.,add team member help change company profile information account
17,9645,Dashboard page is loading slowly,The dashboard takes a very long time to load and sometimes shows a server error. I have already contacted support once.,Technical Support,High,web_portal,open,2026-04-23T08:58:31.797967+00:00,Dashboard page is loading slowly The dashboard takes a very long time to load and sometimes shows a server error. I have already contacted support once.,dashboard page load slowly dashboard take long time load show server error contact
18,8177,Dashboard page is loading slowly,I am getting an error while uploading a CSV file to the platform. I have already contacted support once.,Technical Support,High,web_portal,open,2025-12-20T05:16:31.797967+00:00,Dashboard page is loading slowly I am getting an error while uploading a CSV file to the platform. I have already contacted support once.,dashboard page load slowly gett error upload csv file platform contact
19,4608,Password reset link not working,I cannot login even after entering the correct email address and password. Please resolve this as soon as possible.,Login Problems,Low,email,open,2026-01-14T10:09:31.797967+00:00,Password reset link not working I cannot login even after entering the correct email address and password. Please resolve this as soon as possible.,password reset link work login enter correct email address password resolve soon possible
20,9423,Cancel my subscription,Please help me upgrade from the basic plan to the premium plan.,Subscription Issues,High,chat,in_progress,2026-03-12T15:35:31.797967+00:00,Cancel my subscription Please help me upgrade from the basic plan to the premium plan.,cancel subscription help upgrade basic plan premium plan
21,8744,Plan changed without confirmation,Please help me upgrade from the basic plan to the premium plan. This issue is blocking my team.,Subscription Issues,Low,chat,in_progress,2026-01-08T22:20:31.797967+00:00,Plan changed without confirmation Please help me upgrade from the basic plan to the premium plan. This issue is blocking my team.,plan change confirmation help upgrade basic plan premium plan issue block team
22,7735,Refund needed for cancelled order,"I was charged for an order that I cancelled, so I need a refund.",Refund Requests,High,web_portal,resolved,2026-03-06T03:33:31.797967+00:00,"Refund needed for cancelled order I was charged for an order that I cancelled, so I need a refund.",refund need cancel order charge order cancel need refund
23,4139,Payment failed during checkout,"I tried to pay for my order, but the payment failed even though my card details are correct. I have already contacted support once.",Payment Issues,Medium,chat,resolved,2026-05-08T09:31:31.797967+00:00,"Payment failed during checkout I tried to pay for my order, but the payment failed even though my card details are correct. I have already contacted support once.",payment fail checkout tri pay order payment fail card detail correct contact
24,8260,Refund needed for cancelled order,I cancelled the subscription within the trial period but have still been charged. This is affecting my work.,Refund Requests,Medium,email,open,2026-04-02T15:26:31.797967+00:00,Refund needed for cancelled order I cancelled the subscription within the trial period but have still been charged. This is affecting my work.,refund need cancel order cancel subscription trial period charge affect work
25,7658,Trial period expired early,I want to cancel my monthly subscription before the next billing cycle.,Subscription Issues,High,web_portal,in_progress,2026-04-05T12:20:31.797967+00:00,Trial period expired early I want to cancel my monthly subscription before the next billing cycle.,trial period expire early want cancel monthly subscription bill cycle
26,8454,Two factor authentication problem,I cannot login even after entering the correct email address and password. This is affecting my work.,Login Problems,Medium,phone,in_progress,2026-02-25T08:57:31.797967+00:00,Two factor authentication problem I cannot login even after entering the correct email address and password. This is affecting my work.,factor authentication problem login enter correct email address password affect work
27,9883,Trial period expired early,My plan seems to have changed without my confirmation. This is affecting my work.,Subscription Issues,Low,email,resolved,2026-04-10T16:01:31.797967+00:00,Trial period expired early My plan seems to have changed without my confirmation. This is affecting my work.,trial period expire early plan change confirmation affect work
28,1931,Update account email address,I want to update the email address linked to my customer account. This issue is blocking my team.,Account Management,Low,email,open,2026-01-20T12:38:31.797967+00:00,Update account email address I want to update the email address linked to my customer account. This issue is blocking my team.,update account email address want update email address link account issue block team
29,1651,Bank transaction succeeded but order failed,"I tried to pay for my order, but the payment failed even though my card details are correct. This is affecting my work.",Payment Issues,Medium,email,in_progress,2026-01-10T09:36:31.797967+00:00,"Bank transaction succeeded but order failed I tried to pay for my order, but the payment failed even though my card details are correct. This is affecting my work.",bank transaction succeed order fail tri pay order payment fail card detail correct affect work
30,6147,Trial period expired early,The free trial expired earlier than expected and I cannot access premium features. This issue is blocking my team.,Subscription Issues,Medium,chat,in_progress,2026-03-30T11:02:31.797967+00:00,Trial period expired early The free trial expired earlier than expected and I cannot access premium features. This issue is blocking my team.,trial period expire early free trial expire earlier expect access premium feature issue block team
31,8508,Refund needed for cancelled order,The service did not work as promised and I would like my money back. I have already contacted support once.,Refund Requests,Medium,email,open,2026-05-17T17:41:31.797967+00:00,Refund needed for cancelled order The service did not work as promised and I would like my money back. I have already contacted support once.,refund need cancel order service did work promis like money contact
32,5002,Dashboard page is loading slowly,The export feature is not working and the downloaded file is empty. Please resolve this as soon as possible.,Technical Support,Low,phone,in_progress,2026-03-07T15:40:31.797967+00:00,Dashboard page is loading slowly The export feature is not working and the downloaded file is empty. Please resolve this as soon as possible.,dashboard page load slowly export feature work download file resolve soon possible
33,1128,Two factor authentication problem,I can login on mobile but the web dashboard keeps showing an authentication error. Please resolve this as soon as possible.,Login Problems,Medium,phone,resolved,2025-12-18T23:57:31.797967+00:00,Two factor authentication problem I can login on mobile but the web dashboard keeps showing an authentication error. Please resolve this as soon as possible.,factor authentication problem login mobile web dashboard keep show authentication error resolve soon possible
34,5462,Card was charged twice,The invoice shows a higher amount than expected for my monthly plan.,Payment Issues,High,phone,resolved,2026-01-14T12:42:31.797967+00:00,Card was charged twice The invoice shows a higher amount than expected for my monthly plan.,card charge twice invoice show higher expect monthly plan
35,2512,Account locked after many attempts,The password reset email link has expired and I cannot generate a new one. Please resolve this as soon as possible.,Login Problems,Medium,web_portal,in_progress,2026-04-01T16:16:31.797967+00:00,Account locked after many attempts The password reset email link has expired and I cannot generate a new one. Please resolve this as soon as possible.,account lock attempt password reset email link expire generate new resolve soon possible
36,8239,Payment failed during checkout,The invoice shows a higher amount than expected for my monthly plan. This is affecting my work.,Payment Issues,Medium,web_portal,resolved,2026-03-29T12:30:31.797967+00:00,Payment failed during checkout The invoice shows a higher amount than expected for my monthly plan. This is affecting my work.,payment fail checkout invoice show higher expect monthly plan affect work
37,3426,Payment failed during checkout,"I tried to pay for my order, but the payment failed even though my card details are correct. This is affecting my work.",Payment Issues,Medium,web_portal,open,2026-03-01T22:08:31.797967+00:00,"Payment failed during checkout I tried to pay for my order, but the payment failed even though my card details are correct. This is affecting my work.",payment fail checkout tri pay order payment fail card detail correct affect work
38,5088,Invoice amount looks incorrect,The invoice shows a higher amount than expected for my monthly plan.,Payment Issues,High,email,in_progress,2026-04-11T18:44:31.797967+00:00,Invoice amount looks incorrect The invoice shows a higher amount than expected for my monthly plan.,invoice look incorrect invoice show higher expect monthly plan
39,3900,API integration is failing,The export feature is not working and the downloaded file is empty. This is affecting my work.,Technical Support,High,web_portal,open,2026-04-05T12:28:31.797967+00:00,API integration is failing The export feature is not working and the downloaded file is empty. This is affecting my work.,api integration fail export feature work download file affect work
40,7267,Account locked after many attempts,The two factor authentication code is not arriving on my phone. This is affecting my work.,Login Problems,Medium,email,in_progress,2025-12-07T14:19:31.797967+00:00,Account locked after many attempts The two factor authentication code is not arriving on my phone. This is affecting my work.,account lock attempt factor authentication code arriv phone affect work
41,1387,Password reset link not working,The two factor authentication code is not arriving on my phone. Please resolve this as soon as possible.,Login Problems,Medium,chat,in_progress,2026-04-07T10:24:31.797967+00:00,Password reset link not working The two factor authentication code is not arriving on my phone. Please resolve this as soon as possible.,password reset link work factor authentication code arriv phone resolve soon possible
42,9785,Add another team member,I want to update the email address linked to my customer account. Please resolve this as soon as possible.,Account Management,Low,phone,open,2026-01-25T04:22:31.797967+00:00,Add another team member I want to update the email address linked to my customer account. Please resolve this as soon as possible.,add team member want update email address link account resolve soon possible
43,2776,Invoice amount looks incorrect,My credit card was charged two times for the same subscription renewal. This issue is blocking my team.,Payment Issues,High,web_portal,in_progress,2026-03-29T16:42:31.797967+00:00,Invoice amount looks incorrect My credit card was charged two times for the same subscription renewal. This issue is blocking my team.,invoice look incorrect credit card charge time subscription renewal issue block team
44,4114,Subscription renewal problem,My plan seems to have changed without my confirmation. This issue is blocking my team.,Subscription Issues,High,phone,open,2026-05-06T04:52:31.797967+00:00,Subscription renewal problem My plan seems to have changed without my confirmation. This issue is blocking my team.,subscription renewal problem plan change confirmation issue block team
45,4228,Plan changed without confirmation,I want to cancel my monthly subscription before the next billing cycle. This issue is blocking my team.,Subscription Issues,High,phone,in_progress,2026-01-17T18:34:31.797967+00:00,Plan changed without confirmation I want to cancel my monthly subscription before the next billing cycle. This issue is blocking my team.,plan change confirmation want cancel monthly subscription bill cycle issue block team
46,9308,Invoice amount looks incorrect,I cannot add a new payment method because the checkout page keeps rejecting my card. Please resolve this as soon as possible.,Payment Issues,Medium,phone,resolved,2026-05-04T07:45:31.797967+00:00,Invoice amount looks incorrect I cannot add a new payment method because the checkout page keeps rejecting my card. Please resolve this as soon as possible.,invoice look incorrect add new payment method checkout page keep reject card resolve soon possible
47,7211,Money back for failed service,I cancelled the subscription within the trial period but have still been charged. Please resolve this as soon as possible.,Refund Requests,Medium,chat,resolved,2026-04-16T03:39:31.797967+00:00,Money back for failed service I cancelled the subscription within the trial period but have still been charged. Please resolve this as soon as possible.,money fail service cancel subscription trial period charge resolve soon possible
48,4443,Error while uploading file,Our API integration started failing with timeout errors after the latest update. This issue is blocking my team.,Technical Support,High,web_portal,resolved,2026-03-19T08:13:31.797967+00:00,Error while uploading file Our API integration started failing with timeout errors after the latest update. This issue is blocking my team.,error upload file api integration start fail timeout error latest update issue block team
49,8752,Error while uploading file,Our API integration started failing with timeout errors after the latest update. I have already contacted support once.,Technical Support,Medium,chat,resolved,2026-04-11T00:34:31.797967+00:00,Error while uploading file Our API integration started failing with timeout errors after the latest update. I have already contacted support once.,error upload file api integration start fail timeout error latest update contact
50,6085,Invoice amount looks incorrect,I cannot add a new payment method because the checkout page keeps rejecting my card. This issue is blocking my team.,Payment Issues,Medium,chat,open,2026-04-04T19:03:31.797967+00:00,Invoice amount looks incorrect I cannot add a new payment method because the checkout page keeps rejecting my card. This issue is blocking my team.,invoice look incorrect add new payment method checkout page keep reject card issue block team
51,8461,Cannot login to my account,I cannot login even after entering the correct email address and password. This is affecting my work.,Login Problems,High,web_portal,resolved,2025-12-30T15:31:31.797967+00:00,Cannot login to my account I cannot login even after entering the correct email address and password. This is affecting my work.,login account login enter correct email address password affect work
52,1090,Dashboard page is loading slowly,Our API integration started failing with timeout errors after the latest update. I have already contacted support once.,Technical Support,Medium,email,in_progress,2026-04-27T19:37:31.797967+00:00,Dashboard page is loading slowly Our API integration started failing with timeout errors after the latest update. I have already contacted support once.,dashboard page load slowly api integration start fail timeout error latest update contact
53,8478,Password reset link not working,I can login on mobile but the web dashboard keeps showing an authentication error. I have already contacted support once.,Login Problems,Low,chat,in_progress,2026-04-02T13:52:31.797967+00:00,Password reset link not working I can login on mobile but the web dashboard keeps showing an authentication error. I have already contacted support once.,password reset link work login mobile web dashboard keep show authentication error contact
54,9270,Trial period expired early,The free trial expired earlier than expected and I cannot access premium features. This issue is blocking my team.,Subscription Issues,Medium,web_portal,resolved,2026-02-10T21:06:31.797967+00:00,Trial period expired early The free trial expired earlier than expected and I cannot access premium features. This issue is blocking my team.,trial period expire early free trial expire earlier expect access premium feature issue block team
55,5543,Refund needed for cancelled order,I cancelled the subscription within the trial period but have still been charged. I have already contacted support once.,Refund Requests,Medium,web_portal,resolved,2026-04-01T20:15:31.797967+00:00,Refund needed for cancelled order I cancelled the subscription within the trial period but have still been charged. I have already contacted support once.,refund need cancel order cancel subscription trial period charge contact
56,6502,Account locked after many attempts,The two factor authentication code is not arriving on my phone.,Login Problems,High,phone,resolved,2026-04-05T08:44:31.797967+00:00,Account locked after many attempts The two factor authentication code is not arriving on my phone.,account lock attempt factor authentication code arriv phone
57,2052,Card was charged twice,My credit card was charged two times for the same subscription renewal. This is affecting my work.,Payment Issues,Medium,web_portal,in_progress,2026-04-26T10:42:31.797967+00:00,Card was charged twice My credit card was charged two times for the same subscription renewal. This is affecting my work.,card charge twice credit card charge time subscription renewal affect work
58,1320,Update billing contact,My old phone number is still attached to the account and I want to remove it. I have already contacted support once.,Account Management,Low,web_portal,in_progress,2026-02-17T04:43:31.797967+00:00,Update billing contact My old phone number is still attached to the account and I want to remove it. I have already contacted support once.,update bill contact old phone number attach account want remove contact
59,9947,Invoice amount looks incorrect,The invoice shows a higher amount than expected for my monthly plan. I have already contacted support once.,Payment Issues,High,chat,in_progress,2026-02-16T23:38:31.797967+00:00,Invoice amount looks incorrect The invoice shows a higher amount than expected for my monthly plan. I have already contacted support once.,invoice look incorrect invoice show higher expect monthly plan contact
60,7624,Account locked after many attempts,The two factor authentication code is not arriving on my phone. I have already contacted support once.,Login Problems,Low,chat,in_progress,2026-03-09T19:11:31.797967+00:00,Account locked after many attempts The two factor authentication code is not arriving on my phone. I have already contacted support once.,account lock attempt factor authentication code arriv phone contact
61,1444,Unable to access dashboard,I can login on mobile but the web dashboard keeps showing an authentication error.,Login Problems,High,email,resolved,2026-01-03T22:45:31.797967+00:00,Unable to access dashboard I can login on mobile but the web dashboard keeps showing an authentication error.,unable access dashboard login mobile web dashboard keep show authentication error
62,4467,Refund needed for cancelled order,I cancelled the subscription within the trial period but have still been charged. This is affecting my work.,Refund Requests,Low,web_portal,in_progress,2026-02-27T06:50:31.797967+00:00,Refund needed for cancelled order I cancelled the subscription within the trial period but have still been charged. This is affecting my work.,refund need cancel order cancel subscription trial period charge affect work
63,1317,Remove old phone number,I need to invite a new teammate and assign account access permissions. I have already contacted support once.,Account Management,Low,email,in_progress,2026-05-15T01:57:31.797967+00:00,Remove old phone number I need to invite a new teammate and assign account access permissions. I have already contacted support once.,remove old phone number need invite new teammate assign account access permission contact
64,3496,Cannot login to my account,I cannot login even after entering the correct email address and password.,Login Problems,High,chat,open,2026-04-14T17:19:31.797967+00:00,Cannot login to my account I cannot login even after entering the correct email address and password.,login account login enter correct email address password
65,3749,Request refund for duplicate payment,"My refund request was approved last week, but the amount has not reached my bank account. This is affecting my work.",Refund Requests,Medium,email,open,2026-03-31T05:25:31.797967+00:00,"Request refund for duplicate payment My refund request was approved last week, but the amount has not reached my bank account. This is affecting my work.",request refund duplicate payment refund request approv week reach bank account affect work
66,7149,Update account email address,The billing contact has changed and I need the account details updated.,Account Management,High,web_portal,resolved,2026-01-07T18:53:31.797967+00:00,Update account email address The billing contact has changed and I need the account details updated.,update account email address bill contact change need account detail updat
67,2983,Cannot login to my account,I can login on mobile but the web dashboard keeps showing an authentication error. This is affecting my work.,Login Problems,Medium,email,in_progress,2026-03-18T18:39:31.797967+00:00,Cannot login to my account I can login on mobile but the web dashboard keeps showing an authentication error. This is affecting my work.,login account login mobile web dashboard keep show authentication error affect work
68,7882,API integration is failing,I am getting an error while uploading a CSV file to the platform.,Technical Support,Medium,web_portal,open,2026-03-09T17:35:31.797967+00:00,API integration is failing I am getting an error while uploading a CSV file to the platform.,api integration fail gett error upload csv file platform
69,5425,Money back for failed service,I cancelled the subscription within the trial period but have still been charged. This is affecting my work.,Refund Requests,Medium,web_portal,in_progress,2026-01-21T19:48:31.797967+00:00,Money back for failed service I cancelled the subscription within the trial period but have still been charged. This is affecting my work.,money fail service cancel subscription trial period charge affect work
70,8385,Refund status not updated,The service did not work as promised and I would like my money back. Please resolve this as soon as possible.,Refund Requests,High,chat,in_progress,2026-05-13T08:29:31.797967+00:00,Refund status not updated The service did not work as promised and I would like my money back. Please resolve this as soon as possible.,refund statu updat service did work promis like money resolve soon possible
71,8988,Feature not working after update,Our API integration started failing with timeout errors after the latest update. Please resolve this as soon as possible.,Technical Support,Low,chat,in_progress,2026-03-13T11:48:31.797967+00:00,Feature not working after update Our API integration started failing with timeout errors after the latest update. Please resolve this as soon as possible.,feature work update api integration start fail timeout error latest update resolve soon possible
72,1166,Add another team member,I need to invite a new teammate and assign account access permissions. This issue is blocking my team.,Account Management,Medium,chat,open,2026-03-25T23:02:31.797967+00:00,Add another team member I need to invite a new teammate and assign account access permissions. This issue is blocking my team.,add team member need invite new teammate assign account access permission issue block team
73,9041,Two factor authentication problem,The two factor authentication code is not arriving on my phone. This issue is blocking my team.,Login Problems,High,web_portal,open,2025-12-10T01:45:31.797967+00:00,Two factor authentication problem The two factor authentication code is not arriving on my phone. This issue is blocking my team.,factor authentication problem factor authentication code arriv phone issue block team
74,7046,Invoice amount looks incorrect,My credit card was charged two times for the same subscription renewal. I have already contacted support once.,Payment Issues,Medium,web_portal,resolved,2026-03-17T19:21:31.797967+00:00,Invoice amount looks incorrect My credit card was charged two times for the same subscription renewal. I have already contacted support once.,invoice look incorrect credit card charge time subscription renewal contact
75,5438,Error while uploading file,Our API integration started failing with timeout errors after the latest update. This issue is blocking my team.,Technical Support,Medium,phone,in_progress,2025-12-07T02:31:31.797967+00:00,Error while uploading file Our API integration started failing with timeout errors after the latest update. This issue is blocking my team.,error upload file api integration start fail timeout error latest update issue block team
76,4033,Cannot login to my account,The password reset email link has expired and I cannot generate a new one. Please resolve this as soon as possible.,Login Problems,Medium,chat,open,2026-01-17T18:27:31.797967+00:00,Cannot login to my account The password reset email link has expired and I cannot generate a new one. Please resolve this as soon as possible.,login account password reset email link expire generate new resolve soon possible
77,5636,Plan changed without confirmation,My subscription renewal failed even though my payment method is active. This issue is blocking my team.,Subscription Issues,High,email,open,2026-01-20T21:38:31.797967+00:00,Plan changed without confirmation My subscription renewal failed even though my payment method is active. This issue is blocking my team.,plan change confirmation subscription renewal fail payment method active issue block team
78,5494,Change company profile details,I need to invite a new teammate and assign account access permissions. This is affecting my work.,Account Management,Low,email,open,2026-01-19T13:41:31.797967+00:00,Change company profile details I need to invite a new teammate and assign account access permissions. This is affecting my work.,change company profile detail need invite new teammate assign account access permission affect work
79,5658,Error while uploading file,The dashboard takes a very long time to load and sometimes shows a server error. I have already contacted support once.,Technical Support,Low,web_portal,in_progress,2026-05-31T22:25:31.797967+00:00,Error while uploading file The dashboard takes a very long time to load and sometimes shows a server error. I have already contacted support once.,error upload file dashboard take long time load show server error contact
80,2070,Money back for failed service,Please refund the duplicate payment made from my card yesterday.,Refund Requests,Medium,web_portal,in_progress,2026-02-02T14:07:31.797967+00:00,Money back for failed service Please refund the duplicate payment made from my card yesterday.,money fail service refund duplicate payment card yesterday
81,2395,Bank transaction succeeded but order failed,"I tried to pay for my order, but the payment failed even though my card details are correct. This is affecting my work.",Payment Issues,Low,chat,open,2026-01-11T07:38:31.797967+00:00,"Bank transaction succeeded but order failed I tried to pay for my order, but the payment failed even though my card details are correct. This is affecting my work.",bank transaction succeed order fail tri pay order payment fail card detail correct affect work
82,7232,API integration is failing,The export feature is not working and the downloaded file is empty. This issue is blocking my team.,Technical Support,High,web_portal,in_progress,2026-04-08T00:10:31.797967+00:00,API integration is failing The export feature is not working and the downloaded file is empty. This issue is blocking my team.,api integration fail export feature work download file issue block team
83,2625,Update billing contact,My old phone number is still attached to the account and I want to remove it. Please resolve this as soon as possible.,Account Management,Medium,chat,resolved,2026-05-19T21:12:31.797967+00:00,Update billing contact My old phone number is still attached to the account and I want to remove it. Please resolve this as soon as possible.,update bill contact old phone number attach account want remove resolve soon possible
84,3564,Account locked after many attempts,I cannot login even after entering the correct email address and password. This is affecting my work.,Login Problems,Medium,email,in_progress,2026-01-14T15:27:31.797967+00:00,Account locked after many attempts I cannot login even after entering the correct email address and password. This is affecting my work.,account lock attempt login enter correct email address password affect work
85,8438,Refund status not updated,I cancelled the subscription within the trial period but have still been charged. Please resolve this as soon as possible.,Refund Requests,Low,email,resolved,2026-03-23T08:21:31.797967+00:00,Refund status not updated I cancelled the subscription within the trial period but have still been charged. Please resolve this as soon as possible.,refund statu updat cancel subscription trial period charge resolve soon possible
86,3441,Account locked after many attempts,I can login on mobile but the web dashboard keeps showing an authentication error. This is affecting my work.,Login Problems,Medium,phone,open,2026-01-16T10:20:31.797967+00:00,Account locked after many attempts I can login on mobile but the web dashboard keeps showing an authentication error. This is affecting my work.,account lock attempt login mobile web dashboard keep show authentication error affect work
87,8195,Payment failed during checkout,My credit card was charged two times for the same subscription renewal. Please resolve this as soon as possible.,Payment Issues,Medium,email,in_progress,2026-01-10T08:09:31.797967+00:00,Payment failed during checkout My credit card was charged two times for the same subscription renewal. Please resolve this as soon as possible.,payment fail checkout credit card charge time subscription renewal resolve soon possible
88,2317,Subscription renewal problem,My plan seems to have changed without my confirmation. Please resolve this as soon as possible.,Subscription Issues,Medium,email,in_progress,2026-01-29T03:04:31.797967+00:00,Subscription renewal problem My plan seems to have changed without my confirmation. Please resolve this as soon as possible.,subscription renewal problem plan change confirmation resolve soon possible
89,1339,Subscription renewal problem,The free trial expired earlier than expected and I cannot access premium features. Please resolve this as soon as possible.,Subscription Issues,Low,phone,resolved,2026-04-06T19:00:31.797967+00:00,Subscription renewal problem The free trial expired earlier than expected and I cannot access premium features. Please resolve this as soon as possible.,subscription renewal problem free trial expire earlier expect access premium feature resolve soon possible
90,8141,Card was charged twice,"The transaction was deducted from my bank account, but the payment status still says pending. This issue is blocking my team.",Payment Issues,Medium,web_portal,open,2026-03-25T11:49:31.797967+00:00,"Card was charged twice The transaction was deducted from my bank account, but the payment status still says pending. This issue is blocking my team.",card charge twice transaction deduct bank account payment statu says pend issue block team
91,6403,Money back for failed service,I cancelled the subscription within the trial period but have still been charged. Please resolve this as soon as possible.,Refund Requests,Medium,web_portal,resolved,2026-05-09T12:31:31.797967+00:00,Money back for failed service I cancelled the subscription within the trial period but have still been charged. Please resolve this as soon as possible.,money fail service cancel subscription trial period charge resolve soon possible
92,5135,Money back for failed service,I cancelled the subscription within the trial period but have still been charged. This issue is blocking my team.,Refund Requests,Low,phone,open,2026-05-13T07:16:31.797967+00:00,Money back for failed service I cancelled the subscription within the trial period but have still been charged. This issue is blocking my team.,money fail service cancel subscription trial period charge issue block team
93,9494,Refund status not updated,"I was charged for an order that I cancelled, so I need a refund. This issue is blocking my team.",Refund Requests,Medium,phone,resolved,2026-05-22T11:36:31.797967+00:00,"Refund status not updated I was charged for an order that I cancelled, so I need a refund. This issue is blocking my team.",refund statu updat charge order cancel need refund issue block team
94,8178,Cancel purchase and refund,"I was charged for an order that I cancelled, so I need a refund. This is affecting my work.",Refund Requests,Medium,web_portal,open,2026-05-02T08:11:31.797967+00:00,"Cancel purchase and refund I was charged for an order that I cancelled, so I need a refund. This is affecting my work.",cancel purchase refund charge order cancel need refund affect work
95,7684,Bank transaction succeeded but order failed,My credit card was charged two times for the same subscription renewal. This is affecting my work.,Payment Issues,Medium,email,open,2026-05-31T23:09:31.797967+00:00,Bank transaction succeeded but order failed My credit card was charged two times for the same subscription renewal. This is affecting my work.,bank transaction succeed order fail credit card charge time subscription renewal affect work
